date,value
16.08.21,45996.30
15.08.21,46991.30
14.08.21,47081.50
13.08.21,47809.10
12.08.21,44403.40
11.08.21,45564.30
10.08.21,45593.80
09.08.21,46284.30
08.08.21,43792.80
07.08.21,44614.20
06.08.21,42795.40
05.08.21,40867.20
04.08.21,39736.90
03.08.21,38130.30
02.08.21,39168.40
01.08.21,39878.30
31.07.21,41553.70
30.07.21,42203.40
29.07.21,40001.40
28.07.21,40003.20
27.07.21,39452.00
26.07.21,37276.60
25.07.21,35391.10
24.07.21,33824.80
23.07.21,33603.30
22.07.21,32298.90
21.07.21,32131.40
20.07.21,29793.80
19.07.21,30837.20
18.07.21,31785.40
17.07.21,31518.60
16.07.21,31394.00
15.07.21,31840.50
14.07.21,32820.70
13.07.21,32728.10
12.07.21,33113.00
11.07.21,34227.70
10.07.21,33510.60
09.07.21,33797.40
08.07.21,32866.30
07.07.21,33867.80
06.07.21,34225.60
05.07.21,33687.80
04.07.21,35298.20
03.07.21,34742.80
02.07.21,33813.40
01.07.21,33543.60
30.06.21,35026.90
29.06.21,35834.70
28.06.21,34475.90
27.06.21,34678.50
26.06.21,32243.40
25.06.21,31594.00
24.06.21,34665.80
23.06.21,33674.30
22.06.21,32496.40
21.06.21,31692.00
20.06.21,35595.80
19.06.21,35513.40
18.06.21,35749.40
17.06.21,38052.00
16.06.21,38336.00
15.06.21,40156.10
14.06.21,40529.40
13.06.21,39022.90
12.06.21,35467.50
11.06.21,37314.60
10.06.21,36649.40
09.06.21,37332.20
08.06.21,33382.90
07.06.21,33578.00
06.06.21,35815.40
05.06.21,35520.00
04.06.21,36851.30
03.06.21,39187.30
02.06.21,37555.80
01.06.21,36687.60
31.05.21,37298.60
30.05.21,35652.80
29.05.21,34584.60
28.05.21,35662.50
27.05.21,38417.30
26.05.21,39249.20
25.05.21,38378.30
24.05.21,38750.60
23.05.21,34679.70
22.05.21,37448.30
21.05.21,37297.40
20.05.21,40717.20
19.05.21,36720.50
18.05.21,42897.30
17.05.21,43541.30
16.05.21,46426.40
15.05.21,46708.80
14.05.21,49839.80
13.05.21,49704.60
12.05.21,49384.20
11.05.21,56695.70
10.05.21,55848.90
09.05.21,58238.30
08.05.21,58840.10
07.05.21,57337.20
06.05.21,56405.40
05.05.21,57441.30
04.05.21,53741.50
03.05.21,57169.80
02.05.21,56603.80
01.05.21,57807.10
30.04.21,57720.30
29.04.21,53560.80
28.04.21,54841.40
27.04.21,55036.50
26.04.21,54020.50
25.04.21,48963.60
24.04.21,50088.90
23.04.21,51143.60
22.04.21,51729.50
21.04.21,53820.20
20.04.21,56483.20
19.04.21,55646.10
18.04.21,56207.10
17.04.21,60041.90
16.04.21,61379.70
15.04.21,63216.00
14.04.21,62980.40
13.04.21,63540.90
12.04.21,59863.80
11.04.21,59978.70
10.04.21,59748.40
09.04.21,58118.70
08.04.21,58077.40
07.04.21,55948.70
06.04.21,57996.30
05.04.21,58993.40
04.04.21,58199.90
03.04.21,57059.90
02.04.21,58977.30
01.04.21,58718.30
31.03.21,58763.70
30.03.21,58771.30
29.03.21,57616.20
28.03.21,55765.20
27.03.21,55862.90
26.03.21,55036.10
25.03.21,51322.30
24.03.21,52325.40
23.03.21,54452.50
22.03.21,54158.30
21.03.21,57383.80
20.03.21,58093.40
19.03.21,58088.00
18.03.21,57656.00
17.03.21,58913.50
16.03.21,56889.70
15.03.21,55791.30
14.03.21,59113.70
13.03.21,61195.30
12.03.21,57265.10
11.03.21,57799.50
10.03.21,55851.90
09.03.21,54879.00
08.03.21,52311.00
07.03.21,50982.30
06.03.21,48855.60
05.03.21,48792.50
04.03.21,48428.00
03.03.21,50395.10
02.03.21,48424.20
01.03.21,49595.50
28.02.21,45164.00
27.02.21,46136.70
26.02.21,46345.60
25.02.21,46928.50
24.02.21,49697.50
23.02.21,48911.20
22.02.21,54111.80
21.02.21,57433.80
20.02.21,55923.70
19.02.21,55906.60
18.02.21,51582.20
17.02.21,52079.20
16.02.21,49169.70
15.02.21,47936.30
14.02.21,48643.40
13.02.21,47168.70
12.02.21,47371.70
11.02.21,47990.70
10.02.21,44836.00
09.02.21,46508.60
08.02.21,46395.70
